,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,适宜人群,税费解析,装修描述,售房详情,户型介绍,交通出行,别墅类型,周边配套,权属抵押
211,['舞蹈学院，南北通透2居室，欧式精装修，满五唯一'],699,115157,"['海淀', '魏公村']",2室1厅1厨1卫,中楼层 (共16层),60.7㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯七户,集中供暖,有,2023/7/16,商品房,2017/3/2,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一商品房，精装修两居室，采光好
                  ","
                    1小区一共5栋楼，居住人群都是老师，楼里住户和谐相处素质层次高，小区管理及安保工作到位，另外学院剧场经常有各类精彩演出，如有兴趣观演可提高您的艺术修养，其四学院的食堂和医务室等有对外开放的服务项..整体很便利。
                  ","
                    配套： 小区高校林立，民大，北理工，北外，舞蹈等等，平时可利用高校设施来完善日常生活所需，小区西门出来后往南约200米，即可到达紫竹院公园，免费开放，4A级景区，平时可以去溜溜弯。距离国家图书馆610米，没事的时候可以去溜溜弯。
                  ","
                    邻学院几百米即中关村大街及西三环路，有多路公共汽车经停；国家图书馆旁就是4号9号线地铁，方便你坐车及自驾出行。另外学院东边过马路是北大口腔医院，车程即到的人民医院，海军总医院，看病方便快捷，力保您身体无忧。
                  ",,,,,,,
212,['阳光北里 看房方便 诚意出售 价格可谈'],432,80298,"['海淀', '安宁庄']",1室1厅1厨1卫,低楼层 (共18层),53.8㎡,平层,暂无数据,塔楼,南,钢混结构,其他,两梯十户,集中供暖,有,2023/6/18,已购公房,2000/3/30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    这个房子是满五年唯一的公房，看房需要提前联系。
                  ","
                    这个小区是今年刚改造完，小区路面重新铺设，外立面，上下水，保温层，小区目前整体看起来都比较不错。
                  ","
                    这个户型是全南向的正规一居室，户型方正，没有浪费，主卧室朝南带阳台，客厅带阳台朝南，厨房也朝南，
                  ","
                    小区出门就是公交333总站，小区东西两侧600米有两个地铁站，交通方便，小区出门就有专60路公交车，可以直达城铁上地站。
                  ",,,,,,,
213,['北三环，都市网景大两居室，满五唯一'],1055,105744,"['海淀', '双榆树']",2室1厅1厨1卫,低楼层 (共24层),99.77㎡,平层,暂无数据,塔楼,东南,钢混结构,其他,三梯八户,集中供暖,有,2023/6/10,商品房,2017/7/28,普通住宅,满五年,非共有,"
                                有抵押 50万元 业主自还
                              ",已上传房本照片,"
                    都市网景大两居室东向正对农科院田采光好视野棒
                  ","
                    本小区是成熟的商品房社区，远洋物业管理。人车分流，地下停车，地上有少量访客车位，楼栋出入有单独门禁，24小时保安站岗，24小时热水，小区环境优美，而且设有孩子们玩儿的滑梯、象棋桌以及乒乓球桌等
                  ","
                    银行：有农业银行，交通银行，北京银行，建设银行等，会使您的生活工作便利。 娱乐：有华星影城，新华国际影城，台球室，双榆树公园，KTV等。 美食：杨记兴臭鳜鱼等各种舌尖上的美味；购物：物美，家乐福，沃尔玛，苏宁电器等
                  ","
                    小区北门外就是公交站青云路站，从西苑到北京西站的特19路就在小区门口路过；开车出小区东门中关村东路主干道，往南就是北三环西路；小区西侧有地铁4号线人民大学站；交通四通八达，出行方便。
                  ",,,,,,,
214,['西山公馆满五唯一商品房精装修人车分流环境好'],625,90672,"['海淀', '西北旺']",1室1厅1厨1卫,低楼层 (共6层),68.93㎡,平层,52.83㎡,板楼,西,钢混结构,精装,两梯十二户,集中供暖,有,2023/5/17,商品房,2016/1/21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年唯一，商品房，通风好，采光好，低楼层，人车分流
                  ","
                    小区是亿城开发商2012年开发交房绿化面积大采用中式合院设计纯人车分流，都有不同水系喷泉由北大设计团队设计把人文宜居体现的恰到好处小区居住人群多为信息路中关村高校老师和软件园高管人文素质高
                  ","
                    本房属于次新房，2012年开发商精装交房，低密住宅，人车分流，家里有老人孩子的家庭舒适宜居，安静养生可以种植花草修身养性，老人孩子出行更是方便安这个小区居住很舒适，环境好，不临街，安静，上班累了喜欢安静的休息，这个小区很合适。
                  ","
                    这套房子户型，可以和你仔细说说，虽然西向，采光没有影响，此房客厅朝西，更亮，比反户型更好一些。
                  ","
                    房子装修很有品位，色调搭配的也好。米白色地砖是马可波罗，厨房方太整体厨房，门框水曲柳实木，卧室深色实木复合地板，卫具科勒的，德国耶鲁门。可以拎包入住，既环保有省心。装修是开发商的精装修，房主爱惜房子，业主自住保持很好
                  ","
                    软件园一期6号门滴滴大厦东侧。出行去马连洼北路，圆明园西路，信息路，京新、京藏高速都很方便，到地铁西二旗站、上地站、马连洼站，3、4站公交。在建有地铁13号线拆分线软件园南站，距离小区200米。
                  ",,,,,
215,['地球物理研究所家属楼 朝南向2居室 明厨明卫 位置安静'],515,105103,"['海淀', '魏公村']",2室1厅1厨1卫,顶层 (共5层),49㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2023/3/23,央产房,1994/10/24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一。房间全朝南，楼层高，视野宽阔，采光充足。
                  ","
                    小区是中国地震局地球物理研究所的家属楼，单位就在旁边；一共3栋楼，小区管理很好，干净整洁，有家委会管理。
                  ","
                    此房为满五年唯一的央产房，是地震局家属楼，没有交易过，小区居民大多数是地震局的职工；居住人群简单，邻里和睦，社区氛围很好。可以在此安居。
                  ","
                    可以步行到紫竹院公园，享四季美景和美妙动听鸟儿歌声。安静朝南2居，明厨明卫，喜鹊常伴，单位管理，安全整洁，有居民活动室，存车房，免费停车，其乐融融的集体。
                  ","
                    小区交通便利，向东到中关村南大街，向西到西三环，2个地铁站，16号线万寿寺地铁站，距离小区780米（百度地图实测），国家图书馆地铁站,距离本小区1300米（百度地图）。
                  ",,,,,,
216,['中间楼层一居室 看房方便采光好。'],415,97648,"['海淀', '甘家口']",1室1厅1厨1卫,低楼层 (共6层),42.5㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2023/6/23,已购公房,2019/7/11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    近地铁不临街中间楼层可多贷款业主诚心出售看房方便采光充足
                  ","
                    房子旁边是小广场，小区自己锅炉房供暖，暖气很足，每年会提前十天供暖，推迟10天停暖
                  ","
                    满五年家庭名下唯一住房，首套可贷款303万，网签价1%契税。二套可贷款187万，网签价3%契税
                  ","
                    通出行： 小区交通便利，出了小区300米左右，就是地铁9号线白堆子站，200米左右有快4公交站。以及92/10/121路公交（以上数据来源于百度地图）出行便利，距离阜成路100米
                  ",,,,,,,
217,['西直门金融街中关村 明光村小区 停车方便 交通便利'],438,93391,"['海淀', '小西天']",1室1厅1厨1卫,中楼层 (共5层),46.9㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,2023/5/26,已购公房,1993/12/20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    本房是满五年单位分房，南北通透1居，全明格局
                  ","
                    明光村小区位于文慧桥西南侧，小区共有21栋楼，其中1到12号楼为板楼，14到21为塔楼。小区是2015年年底进行社区改造，改造包括房屋外墙保温，厨房卫生间管道更换，以及社区道路整改，小区绿植等。其中14,15,16,17,21因为冬。奥会去年又做过外墙粉刷。
                  ","
                    本房是南北通透1居，一进门是12.5平厅，厅的北侧是3.7平厨房和2.4平卫生间，厅的南侧是14.7平主卧+3.8平阳台，采光充足。
                  ","
                    本房是南北通透1居，低楼层，适合家里有老人孩子家庭。本小区先到先停，出小区东门是西直门北大街，适合家里有车，交通方便的人士。本房是满五年公房，税费成本低，适合刚需及低总价家庭。
                  ","
                    本房是满五年公房，网签价1%的个税，契税：首套1%，二套3%
                  ",,,,,,
218,['芙蓉里东区板楼南向一居室 低楼层 满五年 诚意出售'],450,107399,"['海淀', '圆明园']",1室1厅1厨1卫,底层 (共6层),41.9㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,集中供暖,无,2023/7/8,央产房,2020/5/29,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年，业主诚意出售，南向户型方正。
                  ","
                    芙蓉里小区是北京十大文明社区之一，环境挺不错东面邻北大颐和园海淀公园和畅春园公园三个公园居，住人群多为部委和市属单位分房，位于四环和万泉河快速路交汇处出行方便。
                  ","
                    房子整体朝南，卧室朝南有阳台，进门是一个客厅，厨房卫生间在中间
                  ","
                    房本满五年，没有抵押，一个人的房本，产权清晰，看房提前预约。
                  ",,,,,,,
219,['富力桃园C区 直望公园 视野开阔'],515,81141,"['海淀', '西三旗']",1室1厅1厨1卫,中楼层 (共21层),63.47㎡,平层,48.39㎡,板塔结合,东北,钢混结构,精装,两梯四户,集中供暖,有,2023/5/16,商品房,2017/1/10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    高楼层、视野好，按满五年唯一、东北朝向
                  ","
                    富力桃园由富力地产开发，2010年建成精装交房，物业费2.8元/平米；小区主打园林绿化，每两栋楼之间都有主题花园，楼间距80-120米40%的绿化，小区有6000平米的人工湖，业主独享，夏天可以带孩子赏鱼，喂鱼，冬天可以带孩子溜冰玩耍；
                  ","
                    房子2010年的，东北一居室，客厅朝东可以看到东侧大公园，卧室厨房朝北，可以看到蟒山；业主随时签约
                  ","
                    公园：小区东侧有贺新公园、东小口森林公园太平郊野公园；商场：小区西侧有13万平的西三旗万象汇（5月份投入使用），购物更方便；交通：小区南侧300米就是公交车站：432，614，617，去往上地，西二旗，中关村；底商：小区有药店，生活超市，购物方便；
                  ",,,,,,,
220,['小西天 明光村小区 南向 电梯直达 无遮挡'],568,94984,"['海淀', '小西天']",2室1厅1厨1卫,低楼层 (共18层),59.8㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯七户,集中供暖,有,2023/5/2,商品房,2010/9/30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    电梯直达 南向 无遮挡 主卧朝南带阳台 能实现南北通风
                  ","
                    小区是首华物业1.97元/㎡/月，市政标准集中供暖；大型社区，平时在小区里散步、健身也可以； 小区是以木材厂和原物资局福利分房为主；总共21栋楼，分东门和北门，24小时有保安值班。
                  ","
                    房子原始格局是2居室带厅；由于居室需求，在原本厅的位置改成了小卧室，且有窗。主卧室设计成了厅+卧，方便接待客人。房子视野无遮挡，采光不错。
                  ","
                    小区位于北二环和北三环中间，明光桥的西南角。生活配套成熟。医院有三所三甲医院，分别是北大人民医院，火箭军总医院，北医三院。小区内有自己的社区诊所，可以刷医保拿药看病。小区北门有物美超市，东门是枫蓝国际商场，方便购物满足日常所需。
                  ","
                    小区出北门是学院南路，出东门是西直门北大街；公交车站：北门有明光村/明光桥西/明光桥 公交站，小东北门是明光桥南公交站，往南两站地西直门地铁2号4号13号线和北京北站。这个位置交通方便，出行便利。
                  ",,,,,,
221,['小营东路5号院   中间楼层  满五年唯一商品房'],518,82092,"['海淀', '清河']",2室1厅1厨1卫,中楼层 (共5层),63.1㎡,平层,暂无数据,板楼,南 西 北,混合结构,精装,一梯三户,集中供暖,无,2021/8/29,商品房,2015/10/29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年唯一，中间楼层，明厅南北两居室。采光好
                  ","
                    小营东路5号院，又叫冶金研究院宿舍。小区2015年做过改造，改造项目包括外立面、保温层、防水、下水管道和电路。目前由首华物业公司管理，物业费1元/每月/每平米。小区一共9栋楼，有7栋是可以出售的公房性质的房子。居民一共345户。邻里和谐，有生活气息。
                  ","
                    小区门口就有社区便民超市和药店还有洗衣房和理发店，可以满足日常生活所需。距离小营桥西菜市场1.2公里（数据来源于高德地图）里面果蔬新鲜价格便宜。距离小营悦茂购物*779米（数据来源于高德地图）周末购物娱乐也比较方便。距离8号线永泰庄地铁站400米.
                  ","
                    这个房子是满五年唯一的商品房，如果您首套购房只有1个点的契税，如果您二套购房只有3个点的契税，税费成本低。
                  ","
                    目前这个房子是业主自己住，精装修，保持的*干净，里边的家具也是装修时业主精挑细选的，每一个空间都有设计小细节能利用起来。后期您买了房子，基本可以直接入住。
                  ",,,,,,
222,['不临街南北通透全明格局中间楼层年初15万精装修'],398,94762,"['海淀', '五道口']",1室1厅1厨1卫,中楼层 (共6层),42㎡,平层,暂无数据,板楼,南 西 北,混合结构,精装,一梯十四户,集中供暖,无,2023/6/23,商品房,2021/8/21,普通住宅,满两年,非共有,"
                                有抵押 140万元 业主自还
                              ",已上传房本照片,"
                    不临街，南北通透，全明格局，中间楼层，年初15万精装修
                  ","
                    房子是南向一居室，把西边，客厅有一个朝西的窗户，主卧室朝南带阳台，户型很好利用
                  ","
                    本小区配套设施齐全，商场有：华联商厦，易初莲花超市，东源大厦等商场，小区里就有家社区医院 城建四社区医院，大型医院为：北医三院，海淀医院，中关村医院等，小区所在位置为双地铁的交汇处，地铁13号线五道口站和15号线清华东路西口站；
                  ","
                    房子是全明格局业主刚装修的，家具家电齐全，看房提前电话联系，
                  ","
                    13号线五道口地铁，出行便利，五道口公交站，公交路线四通八达
                  ",,,,,,
223,['博雅德园中间位置，满五唯一二居室，高层采光视野好'],828,87620,"['海淀', '西二旗']",2室1厅1厨1卫,高楼层 (共10层),94.5㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,集中供暖,有,2023/4/23,商品房,2015/2/11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    博雅德园中间位置，满五唯一二居室，高层采光视野好
                  ","
                    小区建成于2005年，居住人群大多是北大老师和软件园上班的人，小区规模不大，一共有四栋楼，环境优美，有山有水，安静舒适
                  ","
                    满五唯一，可贷款，业主诚心出售，具体情况随时咨询我，我是维护人，了解业主动态
                  ","
                    小区门口就有公交站，小区门口路边有各种共享单车，距离西二旗地铁站1500米，出行方便。
                  ",,,,,,,
224,['永金里 正规一居 满五唯一 南北通透 一层半 楼龄新'],430,77492,"['海淀', '五棵松']",1室1厅1厨1卫,底层 (共7层),55.49㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023/6/21,商品房,2021/3/23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，南北通透，低楼层，楼龄新，随时签约。
                  ","
                    永金里小区位于西四环中路和阜石路西南角300米，沿着永定河呈扇形分布，整个小区不临街安静，总共15栋住宅楼和一栋物业楼，保安24小时执勤，停车方便，管理完善配套齐全，有永辉、服务驿站，小区有花园、乒乓球场、老年门球场、健身场所
                  ","
                    房子是南北通透一居室，小区只有5套，很少出房，正规客厅，卫生间可做干湿分离，一层半（整栋楼有一层半地下），采光没问题，不反水不返潮，适合一家三口或者老人居住。
                  ","
                    有万达广场五棵松店、华熙下沉式广场、五棵松奥林匹克文化公园、301医、家乐福、北京银行、农业银行、工商银行等生活方便.
                  ","
                    永金里小区位于地铁1号线五棵松站北边1600米，离定慧桥南公交站台368米（此数据来自百度地图）有56路、481路、611路、982路等公交经过此地
                  ",,,,,,
225,['苏州桥 小南庄新区社区优质大一居室 诚心出售'],549,102771,"['海淀', '苏州桥']",1室1厅1厨1卫,中楼层 (共6层),53.42㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023/7/8,商品房,2018/10/30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    1995年新楼龄，南北通透格局，中间楼层，采光好。
                  ","
                    小南庄社区是成熟的公房社区，生活配套齐全，出小区门口就是北京城乡。距离海淀妇幼保健医院1040米，距离海淀医院1350米，(以上距离数据均来自百度）。公园有海淀公园和巴沟山水园，生活便利。
                  ","
                    此房楼龄是1995年的，楼龄较新。户型南北通透，格局合理。厨房比较大，朝北带个小阳台。通风效果好，居住舒适。
                  ","
                    小区出门口往南370米（此数据来源于百度地图）就是万泉庄公交站，有公交车26、74、361、374、563、610、运通108、运通109,、运通110、运通118经过，交通出行很是方便。
                  ",,,,,,,
226,['海淀区委大院 知春东里 带电梯 中间层 满五年单位分房'],815,112105,"['海淀', '双榆树']",2室1厅1厨1卫,中楼层 (共20层),72.7㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯十户,集中供暖,有,2023/5/11,已购公房,2001/5/23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    区委大院，单独物业管理，带电梯，满五年单位分房
                  ","
                    知春东里小区是前海淀区政府大院管理规范居住人群素质高，小区一共11幢住宅楼，8幢板楼，3幢塔楼布局错落有秩道路两旁有绿荫点缀建设有广场居住氛围浓厚知春公园茶余饭后休息散步很方便
                  ","
                    本房为两居室，两卧室朝南偏西，采光充足。通风性很好。进门是个10平左右客厅，可以放沙发电视，也可以放个餐桌，一家人吃饭足够。
                  ","
                    本房楼下出小区门口就是地铁10号线知春里站，出行方便。公交：384路、323路双榆树小区站，86路、323路、660路、特19路青云路站，304路、323路、386路、579路、611路、630路、634路、653路、671路、夜9路知春里站
                  ","
                    产权清晰，无抵押，满五年单位分房，可以随时见面签约，诚意出售
                  ",,,,,,
227,['此房满五年，家庭只有这一套住房，精装修，安静不临街'],580,90895,"['海淀', '苏州桥']",2室1厅1厨1卫,高楼层 (共19层),63.81㎡,平层,暂无数据,塔楼,北,钢混结构,精装,三梯十七户,集中供暖,有,2023/6/5,商品房,2018/3/15,公寓,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年，业主家庭名下只有这一套住房，精装修，安静不临街
                  ","
                    中湾国际2007年左右的小区，位于中关村，交通便利，物业公司是欣洁物业，就在小区楼下；小区24小时安保，进小区需要刷卡，管理严谨，独楼独院闹中取静；小区人车分流，都是地下车位，停车方便。
                  ","
                    小区配套成熟，商场有：新中关购物，领展购物，万柳华联。医院有：西苑医院，海淀医院，海淀妇幼保健医院。菜市场有：都市优选，家乐福。
                  ","
                    此房房本已经满五年，业主家庭名下只有这一套住房，首套购买此房需缴纳1%的契税，二套需要缴纳3%的契税，免征个人所得税；
                  ","
                    地铁有：地铁10号线和地铁16号线交汇站，苏州街站。地铁10号线和地铁4号线交汇站海淀黄庄站。地铁4号线，中关村站。公交站有北京市地震局站，公交线路有：26路，374路，302路，528路，688路，等14条公交线路经过。自驾出行可驱车直接上北四环。
                  ",,,,,,
228,['安宁佳园  优质大一居  中间楼层  诚心出售'],482,88376,"['海淀', '安宁庄']",1室1厅1厨1卫,低楼层 (共18层),54.54㎡,平层,暂无数据,塔楼,西北,钢混结构,简装,两梯七户,集中供暖,有,2023/3/30,商品房,2008/8/7,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是满五年，业主家庭名下唯一住房，楼层好，落地窗
                  ","
                    安宁佳园小区是上地实创开发商建造的，建成年代是2007年，物业公司是鼎春德物业，物业费是1.99元每平米每月，小区市政集中供暖，供暖费是30元每平米。停车位充足，有地下停车场。小区比较安静，居住人群素质都比较高。
                  ","
                    房子是2007年的商品房，钢混结构。此户型方正，客厅朝北带一阳台，落地窗。卧室朝西，带飘窗，光线充足。
                  ","
                    房子的产权性质是商品房，房本已经满五年了，是业主家庭名下的唯一住房。交易只有契税。如果您是首套置业，契税按成交价的1%征收。二套购房，契税按成交价的3%征收。
                  ",,,,,,,
229,['西四环边2011年房龄 70年产权 科技住宅 开发商精装'],780,106908,"['海淀', '田村']",2室1厅1厨2卫,低楼层 (共9层),72.96㎡,平层,暂无数据,板楼,西南,钢混结构,精装,一梯五户,自供暖,有,2023/4/28,商品房,2017/9/22,普通住宅,满五年,非共有,"
                                有抵押 50万元 业主自还
                              ",已上传房本照片,"
                    满五年唯一 人车分流 楼龄新（2011年） 带电梯 日式精装
                  ","
                    雅世合金公寓，位于田村路与永定路交口东南角，2011年社区新颖。小区内部共10栋楼，住宅8栋，9层高，板塔结合，468户，居住人群素养高。小区内部4个花园，纯地下停车，出入登记管理严格。开发商新岁丰，物业雅世酒店物业，物业费2.9元，人车分流，产权车位。
                  ","
                    本房室内精装修，小区人车分流，环境管理好。商品房里少有的紧凑小两居。适合注重生活品质的客户，老人，刚需年轻人，比较适合三口人住。
                  ","
                    小区楼下有浦发银行，民生银行，便利店，理发店，宠物店，服装店等，正对京客隆，建设银行，光大银行，工商银行，老家肉饼，嘉和一品，同仁堂，稻香村，健身房，洗衣房等，生活便利。
                  ","
                    室内开发商交付的统一日式公寓式装修，室内松下家具家电，实木地板，整体壁柜，三分卫浴（其中浴室内部可以干蒸湿蒸，装有防滑地砖）。室内有新风系统，可视电话，一键呼叫物业，烟道直排，单独下水，干式地暖，墙体内管线分离，内外双保温。
                  ",,,,,,
230,['颐源居小区少有小户型，精装修，业主诚心出售'],600,119214,"['海淀', '公主坟']",1室1厅1厨1卫,高楼层 (共28层),50.33㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,三梯十四户,集中供暖,有,2023/6/21,商品房,2015/10/30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    小区门槛总价，20万精装，中间层西南向采光好，税费少
                  ","
                    颐源居，西三环公主坟区域大型醇熟的商品房社区，社区位置优越，三环边，东临沉淀着历史的玉渊潭公园（占地132万㎡，其中水域60万），北侧依着北京少有的活水昆玉河水系，自然资源丰厚且独特。社区内部4万平绿化公园，内外部自然环境人文环境都很好
                  ","
                    本房为链家交易的业主房产，产权干净清晰，房本已满五年，无异议、无查封等，房本、身份证已核实过，可放心交易
                  ","
                    颐源居小区地处老牌公主坟商圈内，西三环玉渊潭公园边。小区为区域内大型且醇熟的临河商品房社区，北侧昆玉河流淌，小区东北门步行至玉渊潭公园仅290米，自然资源得天独厚。商圈配套不赘述，社区自带物美、汇佳双语幼儿园、健身房游泳馆、银行ATM等
                  ","
                    房子是2015年20万的精装修，装修品质高、保持得也很好，不存在新装修带来的污染，买过来可以直接住或出租，省时省心省力。
                  ","
                    小区属于公主坟商圈，区域南侧是长安街，东侧是西三环，北侧是阜成路（阜石路），开车出行便利。南侧地铁1号线公主坟、万寿路站，北侧10号线西钓鱼台站，区域80多条公交线（包括机场线），公共交通四通八达。
                  ",,,,,
231,['西北旺，中关村软件园旁，春晖园，满五唯一，小区中间'],650,84846,"['海淀', '西北旺']",2室1厅1厨1卫,中楼层 (共6层),76.61㎡,平层,69.06㎡,板楼,南 北,混合结构,简装,一梯三户,自供暖,无,2023/3/24,二类经济适用房,2011/12/10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，小区中间位置中间楼层，不临街不把边，诚意出售
                  ","
                    春晖园小区建成于2004年，小区总共12栋楼，6-9层的板楼，6层的没有电梯，9层的有电梯，小区内部采用地上停车，不收费，有24小时安保，进出需要刷卡，小区自采暖，采暖灵活
                  ","
                    南北通透两居，进门是客厅，卧室分布在客厅后边，次卧朝北，主卧朝南，带阳台，动静分离，互不打扰
                  ","
                    本房业主诚意出售，没有抵押，没有贷款，目前是自己在住，可以签约，看房也相对比较方便，
                  ",,,,,,,
232,['小南庄社区 优质好房 南北通透 不临街 诚心出售'],406,70025,"['海淀', '苏州桥']",1室1厅1厨1卫,地下室 (共6层),57.98㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023/4/5,商品房,2016/12/26,普通住宅,满五年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,"
                    此房南北通透 不临街 诚心出售 配套齐全 交通便利
                  ","
                    本房在小区内部 安静 不临街 居住舒适安逸 户型方正 南北通透  楼层好 适合老人居住 格局好 适合年轻人喜好 小区管理好 适合带小孩居住
                  ","
                    此房 户型方正 南北通透 主卧室朝南 有阳台 增加采光面 室内光线充足 南北通透性好 北侧厨房有阳台 有利于油烟的排放 户型整体居住舒适度不错
                  ","
                    此房是商品房性质 房本年限已满五年 首套客户有1%契税 二套客户有3%契税 适合贷款和全款客户
                  ","
                    装修时间较长了 最早的室内简装 目前保养的还不错 室内重新打扫一下可以直接用 如果对装修要求比较高的话 可以重新设计 根据喜好重新布局
                  ","
                    小区出门步行1100米（数据源自百度地图）到达10号线地铁苏州街站；小区出门步行1200米（数据源自百度地图）到达16号线地铁苏州桥站；小区出门步行1200米（数据源自百度地图）到达万柳华联购物商场；
                  ",,,,,
233,['店长推荐 人车分流花园社区高楼层精装修正规两居'],765,105054,"['海淀', '小西天']",2室1厅1厨1卫,高楼层 (共21层),72.82㎡,平层,暂无数据,塔楼,东北,钢混结构,精装,三梯十二户,集中供暖,有,2022/10/13,商品房,2002/2/23,普通住宅,满五年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片,"
                    此房满五年名下唯一，东北向正规两居 ，高楼层无遮挡采光好
                  ","
                    小区是2004年纯商品房 ，一共九栋楼 ，此房是空间蒙太奇落地窗现代结构，楼下有电影院，咖啡厅 ，游泳馆，健身房 ，有花园和水系
                  ","
                    适合首套刚需小两口或改善带孩子老人的家庭 ，小区环境好 ，人车分流 ，有花园 ，电梯直达
                  ","
                    户型紧凑没有浪费 ，两间卧室布局合理，客厅面宽宽居住舒适，餐客一体，动静分离
                  ",,,,,,,
234,['西王庄小区中低层 不临街 没有任何遮挡 采光好 双号楼'],460,111651,"['海淀', '五道口']",1室1厅1厨1卫,低楼层 (共6层),41.2㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2023/7/22,央产房,2001/11/27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五年公房 ，中低层 不临街 没有任何遮挡 采光好 双号楼
                  ","
                    房子是全南向的一居室，正对小区花园，明厨明卫有客厅，适合居住
                  ","
                    小区配套齐全，买菜购物一应俱全，医疗，银行都在旁边。出西门就是很多饭店
                  ","
                    西王庄小区临清华大学东南门，东南角是地铁13号线的五道口站，东北角是15号线的清华东路西口站，南边是公交站五道口站，西边是公交站清华东路西口站，交通方便
                  ",,,,,,,
235,['清缘里中区，正规两居室，看房方便，业主诚心出售。'],498,74775,"['海淀', '清河']",2室1厅1厨1卫,中楼层 (共10层),66.6㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯两户,集中供暖,有,2023/4/24,已购公房,2023/1/17,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    南北通透，楼层好，户型格局好利用，业主诚心出售。
                  ","
                    清缘里中区是1998年到2003年分批建成的，小区总共12栋楼，其中5号楼是老年公寓，6号楼是物业，其它都是住宅。
                  ","
                    小区门口有小马扎，湘见徽味，老宅门和小码头等各色小吃店，另外还有永辉和物美大卖场等购物场所，生活设施齐全。
                  ","
                    小区西边是京藏高速，北侧是龙岗路，东边是永泰中路，小区西行814米（来源于百度地图）是清河总站，北行1.2公里（来源于百度地图）是永泰庄地铁站，出行方便。
                  ",,,,,,,
