,标题,总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,交通出行,售房详情,适宜人群,户型介绍,装修描述,权属抵押,税费解析,别墅类型,用水类型,用电类型,燃气价格
125,['采菊苑，满五唯一，不靠路，高楼层，户型方正，全明'],295,26125,"['崂山', '北村']",3室1厅1厨1卫,中楼层 (共11层),112.92㎡,平层,91.54㎡,塔楼,南 北,钢混结构,简装,两梯三户,集中供暖,有,2023/8/12,商品房,2014/7/31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    崂山区，套三好房，满五唯一，位置好，高楼层，户型方正
                  ","
                    采菊苑一共11栋楼 小区里面两个小花园 地上可以免费停车一辆 出租地上80每月 地下个人的车库，物业费不足1元钱，节约购房成本，小区18层 还有11层的 楼间距不错保证每一户的采光
                  ","
                    购物：北村早市，埠西海鲜市场，大润发，丽达茂，佳世客，凯德茂 医疗：齐鲁医院，妇女儿童医院，青医附院 交通：地铁M4号线劲松七路站，M5号线合肥路站（正在建设中）
                  ","
                    公交：370、601、125、313、126、28、119、216、501等（北村站）；389路 ,622路环线 ,18路 ,607路 ,19路环线(开泰锦城站)公交车可以通往李沧银座广场、市北齐鲁医院、佳世客、新业广场、阜外医院；崂山国信体育馆、石老人、青岛科技大学等。
                  ",,,,"
                    简单装修，需要重新装修，目前是有租客在住，提前约，租客同意看房。
                  ",,"
                    满五年/唯一，只需要缴纳1.5-2%的契税，中介服务费，以及公共维修资金。
                  ",,,,
126,['业主急售精装两居，M1天目山路站省个税全天采光视野好'],98,10959,"['黄岛', '薛家岛']",2室1厅1厨1卫,中楼层 (共26层),89.43㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,集中供暖,有,2023/8/15,商品房,2018/1/10,普通住宅,满五年,非共有,"
                                有抵押 20万元 客户偿还
                              ",已上传房本照片,"
                    业主急售精装两居，M1天目山路站省个税全天采光视野好
                  ","
                    小区2009-2010年建成，薛家岛较新小区，银行/商场/农贸市场等配套成熟；封闭式管理，物业保洁到位，安全卫生； 共7栋楼，5栋高层、2栋多层；
                  ","
                    小区配套五大银行，幼儿园，商场，利群，市场，邻近地铁口~天目山路站！小区内1个儿童和1个成人设施活动区，1个小广场，1处衣物晾晒区； 每栋楼侧都有垃圾收集处，快递箱众多；生活便利
                  ","
                    M1地铁站距离小区50米；小区处于嘉陵江东路和长江东路两主干道交叉口，胶州湾隧道口7.7km，汽车出行方便；公交：嘉陵江东路站、泽润金融广场站，1，2，3，4，18，60，L1，K1，803，807，19，27等通往黄岛、胶州、胶南的车都有，隧道1路直达青岛！
                  ",,,,,,,,,,
127,['新上，美立方一楼带院子套三，诚意出售，价格可议'],135,15052,"['城阳', '东方城西']",3室2厅1厨1卫,低楼层 (共11层),89.69㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023/8/10,商品房,2018/4/27,普通住宅,满五年,非共有,"
                                有抵押 38万元
                              ",已上传房本照片,"
                    此房精装修，电梯洋房，一楼带院子
                  ","
                    小区位于城阳区湘潭路16号，所属区域：城阳区天泰城 产权描述：70产权 物业类别：住宅 建筑年代：2012年建成 建筑类型 板楼
                  ",,,"
                    业主结婚的婚房，精装修的，保持的很好，拎包入住，售房意向很好，随时看房，随时可签。
                  ",,"
                    客厅朝阳，南北通透，精装修，户型好，保持的很好，全明户型，看房方便。
                  ",,,,,,,
128,['新上欣宇花园 中楼层 大三居 位置安静 诚心出售'],320,25283,"['市南', '大尧']",3室2厅1厨2卫,中楼层 (共7层),126.57㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,集中供暖,无,2023/8/15,商品房,2002/6/18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    新上欣宇花园 中楼层 大三居 位置安静诚心出售
                  ","
                    小区是1999年9月份建成的封闭小区，打卡出入，小区一共4栋楼，交通便利，出行方便，小区业主素质高，物业管理完善，物业费是0.6元/月
                  ","
                    此房属于大尧为数不多的封闭小区，2000年楼龄比较新，中低楼层，近小花园，老少皆宜，配套成熟，生活家农贸市场，和平鸽广场，以及各种民营小饭馆。
                  ","
                    小区位于宁夏路和大尧三路交叉口，交通便利，出行方便，出了小区就是逍遥路公交站牌，有多路公交经过，11路、226路、309路、379路、301路、320、路等等。三站公交车车程有地铁口。
                  ",,,,,,,,,,
129,['明厅套三 一楼带固定院 满五唯一 不临路采光好 双地铁'],242,28166,"['市南', '中央CBD']",3室1厅1厨1卫,低楼层 (共7层),85.92㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,集中供暖,无,2023/8/13,商品房,2000/6/13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    明厅套三 一楼带固定院 满五唯一 不临路 采光好 双地铁 近万达
                  ","
                    天泰新村一二期位于连云港路和宁夏路路口处东侧，封闭式小区 绿化很高 小区门口不多远就是公交站，地铁M3宁夏路站，交通便利，出行方便！
                  ",,"
                    3号线地铁口宁夏路300米，8号线地铁口山东路宁夏路交界处400米，宁夏路快速路，山东路南到海边北到市北李沧城阳，交通便利
                  ",,,"
                    此房是双南卧一北卧东明厅正规三居室，一楼带开发商的院子，厨房很宽敞很亮堂，两个南卧采光都很好，居住舒适度高
                  ",,,,,,,
130,['精装修 全天采光 全明户型 得房率高 业主诚心卖'],320,23729,"['李沧', '下王埠']",4室1厅1厨2卫,高楼层 (共18层),134.86㎡,平层,110.43㎡,板楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2023/8/14,商品房,2013/7/30,普通住宅,满五年,非共有,"
                                有抵押 10万元
                              ",已上传房本照片,"
                    精装修 全天采光 全明户型 得房率高 业主诚心卖
                  ","
                    小区2012建成，不靠主路，小区比较安静。整个小区分南区北区，中间自带步行街，便于日常购物。小区内人车分流，绿植，活动场地分布合理，方便业主小区内活动，看孩子。小区户型设计合理，均有落地阳台或飘窗设计，采光视野好
                  ","
                    小区中间就是伟东步行街，南边是维客商场，步行50米就是民生市场，利客来商场，购物方便。 公交车4站到李村公园地铁站可换乘2号线。2站到李村万达广场。小区对 面是燕燕凯星幼儿园。南门就是幸福之城幼儿园。北面是金水路小 学。东边有龙田金秋妇女儿童医..
                  ","
                    小区南门是金水路，西边是黑龙江中路，东边青银高速。都是主干道。小区出门就是公交站，有123、130、363、387、625、640、643等多条公交线路。公交车4站就到李村公园，可乘坐地铁2号线。小区门口地铁2号线延长线正在施工，站点就在门口，未来出行更加便利
                  ",,,,,,,,,,
131,['新上 瑞麟公馆 电梯洋房 20万装修 4室两卫'],103,15803,"['城阳', '城阳实验二小']",4室1厅1厨2卫,高楼层 (共9层),65.18㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,2023/8/15,商品房,2019/11/21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一 2022年新装修 家具家电都带着 套四双卫
                  ",,"
                    小区配套完善 有家佳源，万象汇，利群，国学公园，大润发，人民医院，农业大学，万达
                  ","
                    小区交通出行便利 小区门前有有轨电车 顺德居(905; 905)、春城路(103; 103; 373专; 373专; 903; 903; 905; 905)；出北门有有轨电车
                  ",,,"
                    房子户型好 楼层好 采光好 格局好 房子利用率高 生活交通便利
                  ",,,,,,,
132,['温莎郡大套一改套二，精装，急卖'],95,14538,"['市北', '欢乐滨海城']",2室1厅1厨1卫,低楼层 (共28层),65.35㎡,平层,46.63㎡,板楼,南,钢混结构,精装,两梯五户,集中供暖,有,2023/8/16,经济适用房,2018/2/22,普通住宅,满五年,非共有,"
                                有抵押 46万元
                              ",已上传房本照片,"
                    温莎郡大套一改套二，精装，急卖
                  ","
                    英式小区，2017年全封闭新小区，人车分流，环境幽雅安静，绿化高。物业安保严格 小区以年轻人居住为主，高品质小区。
                  ",,"
                    临环湾，驾车往市南市北李沧城阳等各个方向都很方便。出门有公交，5号地铁线已经开建，大沙路立交桥已开通，交通便利
                  ",,,,"
                    此房精装，已改成了小套二，拎包入住，适合预算低的刚需人群。业主自住，装修很用心，用的都是环保材料，可以放心入住
                  ",,,,,,
133,['蓝山湾一期 3室2厅 南'],159,18249,"['李沧', '十梅庵']",3室2厅1厨1卫,高楼层 (共18层),87.13㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023/8/15,商品房,2016/6/3,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
134,['东苑绿世界 好楼层 精装修 套二'],50,6364,"['胶州', '中云']",2室1厅1厨1卫,高楼层 (共6层),78.57㎡,平层,暂无数据,暂无数据,南,未知结构,简装,一梯两户,暂无数据,无,2023/8/14,商品房,2015/8/3,普通住宅,满五年,非共有,"
                                有抵押 16万元 业主自还
                              ",已上传房本照片,"
                    此房满五唯一，叠拼上叠带车库，房子位置很好，小区环境优美
                  ","
                    小区绿化合理环境优美， 交通便利，有多条公交路线通过，交通四通八达，出行方便。 小区物业管理完善，停车位充足，生活方便。 配套设施齐全，银行、医院、市场等近在咫尺！
                  ","
                    配套建设有幼儿园、chao市、健身景观步行道等等生活设施，公交发达，社会配套齐全，是胶州百姓安家置业的理想社区。
                  ",,,"
                    中年老年都少年适宜，小区安静，邻里和谐，邻居素质都很高，绿化好空气清新
                  ",,,,,,,,
135,['2楼 双南向 安静 采光好靠地铁1号线 另外还有储藏室'],95,14220,"['市北', '万科广场']",2室1厅1厨1卫,低楼层 (共6层),66.81㎡,平层,59.12㎡,板楼,南,混合结构,简装,一梯两户,集中供暖,无,2023/8/16,商品房,2009/9/14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房是1998年的，2楼，房东想置换，诚心出售，产权清晰，无抵压
                  ",,"
                    房子距离开平路早市800米(此数据来源于百度地图）.距离商城路综合农贸市场1200米(此数据来源于百度地图）.距离海琴利群购物广场1200米（此数据来源于百度地图）生活便利
                  ","
                    房子位于开平路交大沙支路，有M1地铁开封路站，另外在思路南路有208、12、21、309、5、30路多条线路房主自荐(业主对房源的描述)
                  ","
                    此房是1998年的，房东想置换，诚心出售，产权清晰，无抵押，无户口，看房方便
                  ",,,,,,,,,
136,['金沙滩景区 多层南北通透 拎包入住 88平 急售105万'],105,11949,"['黄岛', '金沙滩']",2室1厅1厨1卫,高楼层 (共6层),87.88㎡,平层,76.4㎡,暂无数据,南 北,未知结构,精装,一梯两户,暂无数据,暂无数据,2023/8/17,商品房,2021/1/24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    金沙滩 风景区 多层两居 通透 楼层佳
                  ","
                    小区前面就是金沙滩景区，房屋为通透全明元宝户型，居住空间开阔，小区实行24小时全封闭物业服务和24小时安保值守，主要出入口均设有电子监控。小区安静舒适休闲幽静。
                  ",,"
                    隧道公交1路、3路、5路、7路，8路，直达青岛市区；黄岛公交27路、31路、807路，808，通达黄岛市区
                  ",,,,,,,,,,
137,['低于市场成交价20万，精装修80万，使用面积220平'],308,22244,"['城阳', '高新区']",4室2厅1厨3卫,低楼层 (共4层),138.47㎡,,暂无数据,,南,钢混结构,精装,,暂无数据,,2023/8/13,商品房,2018/5/11,别墅,满五年,非共有,"
                                有抵押 105万元 邮政银行 客户偿还
                              ",已上传房本照片,"
                    此房满五唯一，精装修，拎包入住，此房位置好
                  ","
                    中欧金茂墅下叠别墅 四室两厅三卫 地下70平左右 因为是边户两个采光井 南边一个4个平方左右 东边一个17个平方左右 白天地下见阳光 户型方正 一楼南北2个卧室 二楼两个南卧
                  ","
                    ：
祥茂河湿地公园，墨水河湿地公园，左右逢源，伊甸园年底竣工，有52+商场8万方，览秀城18万方大型年底开业，有三之三幼儿园，银海学 校，高新区第二实验幼儿园，多条公交，高铁，快速路通达市区。
                  ","
                    小区的南边配有716路，766路，908路公交站，小区往南距离200火炬路有规划中地铁10号线，也是高新区的主干道，交通方便，小区商圈成熟。 房主自荐(业主对房源的描
                  ",,,,"
                    装修精心设计，厨房改造在北边那间，台面三阶梯式设计，地下室采光井大，比高层低楼层房子都亮，任何东西都用了环保材质，自住装修不用担心任何关于水电，漏水，地下潮湿，甲醛等抗性问题。
                  ",,,联排,,,
138,['精装大元宝，双卫全明户型。有车位'],205,17496,"['城阳', '东方城东']",3室2厅1厨2卫,高楼层 (共11层),117.17㎡,平层,94.16㎡,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023/8/8,商品房,2021/5/21,普通住宅,满两年,共有,"
                                有抵押 100万元 阜丰银行 客户偿还
                              ",已上传房本照片,"
                    精装大元宝，双卫全明户型。有车位
                  ","
                    小区开发商是青岛鑫江置业集团有限公司，鑫江自己的物业管理严格，采用全封闭式管理模式，安全性高，而且管理社区面积已逾百万平。
                  ","
                    小区北侧就是东方城购物广场，集市、娱乐、餐饮、购物、健身于一体，可以满足咱们不同的购物需求；小区门口有各大银行ATM机
                  ","
                    小区东门门口有多路公交车经过；向南可坐103、129、371、502等多路公交车可直达李沧、市南、市北；向北可坐103、129、932可直达城阳，出行十分方便快捷，.很快就有地铁15号线建成。小区门口就是地铁口，门口玉霞路有地铁口，在建中。
                  ",,,,,,,,,,
139,['达利广场 3室1厅 南 北'],207,13996,"['黄岛', '香江路']",3室1厅1厨2卫,低楼层 (共30层),147.9㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯三户,集中供暖,有,2023/8/18,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押
                              ",未上传房本照片,,,,,,,,,,,,,,
140,['瑞港度假村少公摊大套三随时看房无个税'],142,10411,"['黄岛', '积米崖']",3室2厅1厨2卫,中楼层 (共5层),136.4㎡,错层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023/7/29,商品房,2017/10/16,普通住宅,满五年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,"
                    房子无个税看房随时拎包入住少公摊
                  ","
                    小区在积米崖渔人码头西侧，小区东南角与渔人码头基本是一块的，风景不错。小区很安静，没有一点噪音。卫生保持的不错，路面干干净净。出门口是51，27路公交车，去开发区，胶南都比较方便。
                  ","
                    黄岛区第三代商圈地带，南有梦时代广场，海上嘉年华，渔人码头，东靠永旺梦乐城，佳世客，西有万达东方影都，灵山卫枢纽站，滨海大道、海尔大道。绝大部分生活用品就在家门口，十分方便
                  ","
                    门口有开发区27，51路公交车直通开发区两大商圈长江路家佳源和香江路利群，202路直通胶南！隧道5，6，7，8直通青岛，交通便利！
                  ",,,,,,,,,,
141,['海尔悦湖兰庭套三双卫，毛坯一次未住 满五唯一'],150,12017,"['黄岛', '江山南路']",3室1厅1厨2卫,中楼层 (共27层),124.83㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯四户,集中供暖,有,2023/7/26,商品房,2019/6/8,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    此房户型方正，全明，双南卧双卫，全明户型，开间宽，毛坯一..
                  ","
                    悦湖兰庭小区分三期五个地块建设，本房所在地块于18年建成交付，房子比较新，物业管理也比较不错。日常生活都很便利，出行比较方便，二期位置比较优越，出门就是香江路
                  ",,,,"
                    小区居住人群以年轻人居多，适宜刚需人群，总价不高，三居室一步到位，省去后期置换的麻烦。 改善人群也可以，全明三居，布局合理，居住舒适
                  ",,"
                    房子目前是空置状态，房子从来没有居住过，现在是毛坯状态，自己可以根据自己的实际情况去装修
                  ",,,,,,
142,['2011年花园式封闭小区 复式结构 动静分离 M4M8双地铁'],200,16084,"['市北', '海泊河']",2室1厅1厨2卫,低楼层 (共35层),124.35㎡,复式,93.05㎡,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2023/8/1,商品房,2012/8/14,普通住宅,满五年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,"
                    2011年花园式 封闭小区 复式结构 动静分离 M4M8双地铁
                  ",,"
                    临市北家乐福，成熟的综合性商场，无论是服饰，日用品，早夜市，美食餐饮，一站式服务。延吉路万达，商场，电影院，娱乐休闲场所。市北图书馆，北临鞍山路农贸市场，抚顺路批发市场，东临新业广场，，百安居等
                  ","
                    此小区走50米有家乐福 敦化路和鞍山路学 M 4西吴家村站 M1海泊桥站 各路公交车211.320.368.314.29.等
                  ",,"
                    花园式小区，有花园平台，可供业主活动。人车分流，真正打造舒适度高且安全居住的小区环境。房子复式结构，动静分离，适合年轻人居住选择，小区满足双地铁M4+M8鞍山路站，有家乐福商场及万达购物广场。满足年轻人居住购物交通等前提。
                  ","
                    复式住宅是受跃层式住宅的设计构思启发，在建造上仍每户占有上下两层。复式住宅的下层供起居用，炊事、进餐、洗浴等，上层为卧室居住，真正做到动静分离，深受年轻人喜欢。
                  ",,,,,,,
143,['新上  湖山美地 一楼带院 带负一  套三 急卖有钥匙'],330,29795,"['李沧', '下王埠']",3室2厅1厨2卫,低楼层 (共5层),110.76㎡,平层,95.13㎡,板楼,南,钢混结构,其他,一梯两户,集中供暖,有,2023/7/25,商品房,2019/2/22,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房户型方正 一楼复式 带南北 院 子 精装修 全明户型
                  ","
                    湖山美地是伟东置业在下王埠商圈的第四期工程。小区共分三期，于15年、16年、17年毛坯交付。其中一期二期为高层，三期为多层洋房。小区位于虎山脚下，内部设施齐全，纯人车分流设计，既安全又拥有教高的品质绿化，自带活水湖，环境优美，四季景色宜人
                  ","
                    小区内部有三条步行街，100多家门头，理发，药店，蔬果，生鲜等一应俱全。东400米百通农贸市场，南550米维客广场，700米李村公园等配套。南边有金海湾幼儿园以及青岛实验二。目前正在修建虎山公园。后期可直接从小区内登山游玩
                  ","
                    规划的M15号线上王埠站，南到石老人海水浴场，北到汽车产业城。全线可接2、4、9、10、11以及16号线。小区近黑龙江路，公交线路有，9、103、111、503、640、918路等多条公交，去市内四区城阳即墨都很方便。四周有金水路，巨峰路，重庆路南北东西干线四通八达。
                  ",,,,,,,,,,
144,['香江学府 元宝套四 高楼层视野好'],370,25469,"['黄岛', '香江路']",4室2厅1厨2卫,高楼层 (共18层),145.28㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,2023/8/3,商品房,2019/1/23,普通住宅,满两年,非共有,"
                                有抵押 120万元 业主自还
                              ",已上传房本照片,"
                    香江学府 稀有套四元宝户型 高楼层 视野好 有车位，大储藏室
                  ","
                    香江学府小区位于香江路商圈内，地理位置优越，配套成熟，完善，小区9栋楼，是银盛泰开发商开发，小区18年的房龄，小区绿化高，带下沉式游乐场
                  ","
                    有青医附院，有维客运海城这个大型购物市。还有长江利群商厦，扒山综合批发市场以及钱塘江市场等。
                  ",,,,,,,,,,,
145,['市南公务员小区，电梯房，4居室，毛坯'],433,29966,"['市南', '福安']",4室2厅1厨2卫,低楼层 (共20层),144.5㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯三户,集中供暖,有,2023/8/5,限价商品房,2017/11/20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    小区自带公立幼儿园，外贸城旁，敦化路近商务区，
                  ",,"
                    小区自带公立幼儿园。小区北就是外贸城。小区门口就是真诚购物便利。阜外医院、妇女儿童医院就医便利。
                  ",,,"
                    面积大，4居室，适合改善的多口之家，一家三代其乐融融，温馨好房。可贷款，有电梯，老人小孩上下楼方便。
                  ",,,,"
                    房子满五年不唯一，有2个点个税。购买此房，契税首套1.5，个税2，公共维修基金133一个平方。
                  ",,,,
146,['御景尚都大元宝户型107平套三采光好总价低'],119.5,11178,"['城阳', '白云山']",3室1厅1厨1卫,低楼层 (共18层),106.91㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,两梯三户,集中供暖,有,2023/7/31,商品房,2017/1/3,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,"
                    御景尚都大元宝户型107平套三采光好总价低，有钥匙
                  ","
                    小区人车分流，小区内有多层洋房、高层分布，绿化好 鑫源开发商，长城物业，高层物业费1.6平， 物业管理严格，小区绿化覆盖高，居住舒适安全
                  ","
                    家佳源购物及利群购物就在正阳路上，还有奥维斯健身馆和凯莱大酒店相邻，生活便利，交通方便，小区环境优雅适宜居住，居民整体文化素质高
                  ",,,"
                    当做婚房或者给老人住都很合适 业主很爱惜这套房子，配套齐全，交通出行也很便利，带电梯，老人住也很方便，有公园，有菜市场 首付不高 贷款方式不限，也适合首付不多的小两口
                  ",,,,,,,,
147,['百通馨苑，楼下改善套三双卫，新精装，满五年唯一。'],188,17655,"['李沧', '下王埠']",3室2厅1厨2卫,高楼层 (共7层),106.49㎡,平层,93.32㎡,板楼,南,混合结构,精装,一梯两户,集中供暖,无,2023/7/31,商品房,2016/6/8,普通住宅,满五年,共有,"
                                有抵押 74万元
                              ",已上传房本照片,"
                    多层的顶楼＋阁楼，公摊小，看房方便，业主卖房意向好
                  ","
                    百通馨苑三区是正规商品房，2006年建成。小区生活很方便，出小区门就是利客来 小区里面有幼儿园物业是双星物业，物业费是0.7元每平【多层】以及1.1元/平/月【带电梯】
                  ",,"
                    出了小区30米就有公交站，多路公交车经过，通往市内四区都很方便，距离黑龙江路主干道（800米数来源于高德地图），出行方便！
                  ",,,"
                    房子是06年的小区双南卧一北卧东明厅户型平层就是三居室双卫生间的改善户型楼上带阁楼改善型好户型双南卧室双阳台双卫生间每个功能间都有窗户南北通风采光无遮挡楼上有阁楼储藏空间宽敞。
                  ",,,"
                    70年产权商品房，目前产证已经满五年了，是业主家庭名下唯一房产，免增值税，免个人所得税，减少购房成本。
                  ",,,,
148,['珠江路 通透3居 户型方正 高层无遮挡 拎包入住'],143,10841,"['黄岛', '唐岛湾']",3室1厅1厨1卫,中楼层 (共15层),131.91㎡,平层,暂无数据,板楼,南,钢混结构,其他,一梯两户,集中供暖,有,2023/8/5,商品房,2016/10/9,普通住宅,满五年,非共有,"
                                有抵押 农行
                              ",已上传房本照片,"
                    珠江路 通透3居 户型方正 高层无遮挡 拎包入住
                  ","
                    源城小区共有1栋楼，一期2005年所建，缺点就是没有小区环境，是开发区生活方便的小区，小区距离唐岛湾滨海公园仅1380米（数据来源于百度地图）
                  ","
                    小区北面200米出是麦凯乐，佳世客（来自百度地图）。西面300米（来自百度地图）处是井冈山路与长江路交界点，这里有商城家佳源，利群购物广场，世纪商城。小区南北通车，走珠江路或者滨海大道，去市区或者胶南，出行方便
                  ",,,"
                    房子适合改善型客户，品质小区，商圈便利，看房提前联系，竭诚为您邀约，此房是珠江路商圈少有双南卧南厅户型
                  ",,,,,,,,
149,['博观星海套四 小高层 房主诚心出售 看房子方便'],178,12564,"['黄岛', '六中']",4室2厅1厨2卫,低楼层 (共18层),141.68㎡,平层,111.46㎡,板楼,南 北,钢混结构,其他,两梯两户,集中供暖,有,2023/7/29,商品房,2020/7/16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    一梯一户 精装交付 环境优美 人车分流 人脸识别 品质物业
                  ","
                    1.小区环境优美，绿化景观多样，闲暇之余在小区散步娱乐舒适。 2.小区是银盛泰物业，物业服务认真负责有品质。 3.小区是2020年的房子，精装交房，居住远离装修噪音烦恼，安静舒适。 4.小区采取人车分流，小区由娱乐区，居住舒适
                  ","
                    1.距离地铁13号线隐珠地铁站900米 2.北侧是隐珠广场地处繁华地段 3.小区公交体系发达，公共出行方便 4.距离兰亭1600米，孩子上学方便 5.距离幸福茂1900米，假期购物娱乐方便 6.小区银行分布有农业银行、建设银行、邮政储蓄银行、农行银行。
                  ",,,,"
                    1.小区总高18层的房子做到了一梯一户，每个户型都有自己独立的空间。 2.此户型方正，三南卧，南客厅，南向四开间
                  ",,,,,,,
150,['鹤翔小区 2室1厅 南'],62,7561,"['即墨', '即墨和平']",2室1厅1厨1卫,中楼层 (共6层),82㎡,平层,暂无数据,板楼,南,砖混结构,简装,两梯两户,集中供暖,有,2023/7/25,商品房,2018/3/2,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,,,,,,,,,,,
151,['套三 满五唯一 南北通透通风好 采光好 开发商统一装修'],113,12578,"['城阳', '东方城西']",3室2厅1厨1卫,中楼层 (共11层),89.84㎡,平层,72.86㎡,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2023/7/26,商品房,2015/11/4,普通住宅,满五年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,"
                    套三 满五唯一 南北通透通风好 采光好 开发商统一装修
                  ","
                    天泰开发商，物业是万科物业，具有一级资质的物业管理企业。物业管理人员贴心负责任，小区是封闭式管理，人车分流。小区绿化好，环境优美
                  ","
                    社区内有早市、购物市、城阳三医驻扎在小区的门诊部（配有一辆救护车）。小区距离新泰康中医医院604米（百度地图），距离东方城购物商城1.3公里（百度地图），距离湘潭路农贸市场226米（百度地图）
                  ","
                    小区交通便利，小区北门是新罗园公交站，开往城阳、李沧等方向。天泰城小区东门是天泰奥园公交车站，开往市南、市北、崂山、李沧、城阳和即墨等多条公交线路。天泰城小区南门是天泰城公交车站，始发站开往市里主城方向，方便您的上下班生活
                  ",,,,,,,,,,
152,['店长力荐 薛家岛 全明边户套三 采光视野好 70年产权'],78,7168,"['黄岛', '黄岛港']",3室2厅1厨1卫,中楼层 (共34层),108.82㎡,平层,80.26㎡,塔楼,南 北,钢混结构,毛坯,两梯四户,集中供暖,有,2023/8/6,商品房,2019/5/17,普通住宅,满两年,非共有,"
                                有抵押 40万元 民生
                              ",已上传房本照片,"
                    此房格局套三 南北向 格局好海景 采光阳光充足 小区绿化高
                  ","
                    融创·维多利亚湾，是以香港维多利亚港为蓝本打造的320万㎡大型10万人的滨海社区，270°三面环海枢纽，直线距离3.8公里对望百年青岛文脉。闲暇时分，绕着小区跑跑步，喝喝茶，看看海景，生活惬意
                  ","
                    小区有沿街底商，有大型融创新天地，已经开业三年，入住的有万达影院、麦当劳、全时健身等等满足您的日常生活需求。幼儿园北大附属师范幼儿园，购物和休闲共同打造丰富美好生活体系，小区内自带室外泳池，儿童娱乐区，是一个集居住、购物、教育、医疗.
                  ","
                    小区后期规划11条公交线路，目前开通的有三条，802路，东16路，55路，802路可以直达1号地铁线的安子东站，1号线明年年底开通。东16路直达长江路商圈，55路直达青医附院（开发区三甲医院）。离地铁1号线安子站只有6公里远，后期会有摆渡车来往，通过1号线方便
                  ",,,"
                    小区楼龄新2016~2020年建成 70年大产权 自带游泳池 房子观中庭绿化 格局方正 一线海景房 一览无遗 每一处都是爱的角落
                  ",,,,,,,
153,['楼层好，视野开阔，配套齐全，幼小初不用接，诚心出售'],78,7149,"['黄岛', '黄岛港']",3室1厅1厨1卫,中楼层 (共34层),109.11㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2023/8/1,商品房,2018/6/25,普通住宅,满五年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片,"
                    楼层好，视野开阔，元宝户型，配套齐全，幼小初不用接，诚心出售
                  ","
                    小区配套成熟，入住率高，绿化高达30% ，人车分流。小区有沿街底商，下楼就是原来的万达广场，已经开业两年，入住的有万达影院、麦当劳、全时健身等等满足您的日常生活需求。项目内万达广场商圈、飞翔的鸥海岸景观等购物和休闲配套共同打造丰富美好生活
                  ","
                    项目内万达广场商圈、飞翔的鸥海岸景观组团等、购物和休闲共同打造丰富美好生活体系，建成后将成为一个集居住、购物、教育、医疗、休闲于一体的教育之城、大海之城，以美好精筑兑现一湾栖居理想。
                  ","
                    小区交通出行方便，现在有16路 802路 55路公交车，可直达辛安、开发区、汽车站等。后期会有多条公交开通小区后期规划11条公交线路，目前开通的有4条，802路，东16路，55路，825路、802路可以直达1号地铁线的安子站。
                  ",,,,,,,,,,
